subject,correct,total,accuracy_percent
0,335,840,39.88095238
1,360,840,42.85714286
2,394,840,46.90476190
3,199,840,23.69047619
4,399,840,47.50000000
5,465,840,55.35714286
6,406,840,48.33333333
7,133,840,15.83333333
8,393,840,46.78571429
9,388,840,46.19047619
10,407,840,48.45238095
11,433,840,51.54761905
12,468,840,55.71428571
13,375,840,44.64285714
14,382,840,45.47619048
15,489,840,58.21428571
16,400,840,47.61904762
17,323,840,38.45238095
18,334,840,39.76190476
19,520,840,61.90476190
20,523,840,62.26190476
21,419,840,49.88095238
22,302,840,35.95238095
23,32,840,3.80952381
24,390,840,46.42857143
25,390,840,46.42857143
26,518,840,61.66666667
27,184,840,21.90476190
28,287,840,34.16666667
29,341,840,40.59523810
30,179,840,21.30952381
31,290,840,34.52380952
32,393,840,46.78571429
33,442,840,52.61904762
34,279,840,33.21428571
35,181,840,21.54761905
36,378,840,45.00000000
37,285,840,33.92857143
38,430,840,51.19047619
39,421,840,50.11904762
40,437,840,52.02380952
41,413,840,49.16666667
42,357,840,42.50000000
43,510,840,60.71428571
44,347,840,41.30952381
45,612,840,72.85714286
46,368,840,43.80952381
47,457,840,54.40476190
48,517,840,61.54761905
49,244,840,29.04761905
50,471,840,56.07142857
51,468,840,55.71428571
52,363,840,43.21428571
53,521,840,62.02380952
54,450,840,53.57142857
55,295,840,35.11904762
56,299,840,35.59523810
57,389,840,46.30952381
58,270,840,32.14285714
59,357,840,42.50000000
60,510,840,60.71428571
61,247,840,29.40476190
62,432,840,51.42857143
63,416,840,49.52380952
64,230,840,27.38095238
65,318,840,37.85714286
66,420,840,50.00000000
67,213,840,25.35714286
68,323,840,38.45238095
69,312,840,37.14285714
70,293,840,34.88095238
71,397,840,47.26190476
72,178,840,21.19047619
73,257,840,30.59523810
74,178,840,21.19047619
75,366,840,43.57142857
76,448,840,53.33333333
77,357,840,42.50000000
78,150,840,17.85714286
79,350,840,41.66666667
80,258,840,30.71428571
81,347,840,41.30952381
82,382,840,45.47619048
83,177,840,21.07142857
84,310,840,36.90476190
85,235,840,27.97619048
86,150,840,17.85714286
87,150,840,17.85714286
88,269,840,32.02380952
89,351,840,41.78571429
90,301,840,35.83333333
91,208,840,24.76190476
92,440,840,52.38095238
93,423,840,50.35714286
94,410,840,48.80952381
95,346,840,41.19047619
96,425,840,50.59523810
97,339,840,40.35714286
98,378,840,45.00000000
99,285,840,33.92857143
100,338,840,40.23809524
101,304,840,36.19047619
102,371,840,44.16666667
103,288,840,34.28571429
104,202,840,24.04761905
105,376,840,44.76190476
106,198,840,23.57142857
107,305,840,36.30952381
108,217,840,25.83333333
109,272,840,32.38095238
110,222,840,26.42857143
111,180,840,21.42857143
112,240,840,28.57142857
113,239,840,28.45238095
114,390,840,46.42857143
115,418,840,49.76190476
116,392,840,46.66666667
117,259,840,30.83333333
118,307,840,36.54761905
119,485,840,57.73809524
120,168,840,20.00000000
121,234,840,27.85714286
122,238,840,28.33333333
