subject,correct,total,accuracy_percent
0,406,840,48.33333333
1,434,840,51.66666667
2,424,840,50.47619048
3,259,840,30.83333333
4,303,840,36.07142857
5,380,840,45.23809524
6,392,840,46.66666667
7,176,840,20.95238095
8,270,840,32.14285714
9,393,840,46.78571429
10,401,840,47.73809524
11,395,840,47.02380952
12,481,840,57.26190476
13,377,840,44.88095238
14,496,840,59.04761905
15,472,840,56.19047619
16,501,840,59.64285714
17,342,840,40.71428571
18,360,840,42.85714286
19,499,840,59.40476190
20,487,840,57.97619048
21,507,840,60.35714286
22,308,840,36.66666667
23,50,840,5.95238095
24,490,840,58.33333333
25,371,840,44.16666667
26,411,840,48.92857143
27,543,840,64.64285714
28,195,840,23.21428571
29,163,840,19.40476190
30,120,840,14.28571429
31,457,840,54.40476190
32,385,840,45.83333333
33,506,840,60.23809524
34,270,840,32.14285714
35,288,840,34.28571429
36,416,840,49.52380952
37,565,840,67.26190476
38,301,840,35.83333333
39,407,840,48.45238095
40,457,840,54.40476190
41,411,840,48.92857143
42,469,840,55.83333333
43,574,840,68.33333333
44,474,840,56.42857143
45,614,840,73.09523810
46,399,840,47.50000000
47,445,840,52.97619048
48,522,840,62.14285714
49,211,840,25.11904762
50,596,840,70.95238095
51,408,840,48.57142857
52,406,840,48.33333333
53,439,840,52.26190476
54,450,840,53.57142857
55,519,840,61.78571429
56,401,840,47.73809524
57,254,840,30.23809524
58,293,840,34.88095238
59,306,840,36.42857143
60,558,840,66.42857143
61,349,840,41.54761905
62,351,840,41.78571429
63,450,840,53.57142857
64,187,840,22.26190476
65,335,840,39.88095238
66,367,840,43.69047619
67,303,840,36.07142857
68,269,840,32.02380952
69,431,840,51.30952381
70,287,840,34.16666667
71,569,840,67.73809524
72,178,840,21.19047619
73,330,840,39.28571429
74,260,840,30.95238095
75,256,840,30.47619048
76,360,840,42.85714286
77,385,840,45.83333333
78,154,840,18.33333333
79,328,840,39.04761905
80,279,840,33.21428571
81,304,840,36.19047619
82,519,840,61.78571429
83,416,840,49.52380952
84,380,840,45.23809524
85,142,840,16.90476190
86,90,840,10.71428571
87,320,840,38.09523810
88,306,840,36.42857143
89,214,840,25.47619048
90,236,840,28.09523810
91,170,840,20.23809524
92,421,840,50.11904762
93,351,840,41.78571429
94,416,840,49.52380952
95,452,840,53.80952381
96,423,840,50.35714286
97,273,840,32.50000000
98,265,840,31.54761905
99,294,840,35.00000000
100,266,840,31.66666667
101,368,840,43.80952381
102,418,840,49.76190476
103,310,840,36.90476190
104,183,840,21.78571429
105,417,840,49.64285714
106,181,840,21.54761905
107,402,840,47.85714286
108,238,840,28.33333333
109,278,840,33.09523810
110,232,840,27.61904762
111,277,840,32.97619048
112,370,840,44.04761905
113,240,840,28.57142857
114,257,840,30.59523810
115,377,840,44.88095238
116,261,840,31.07142857
117,340,840,40.47619048
118,287,840,34.16666667
119,497,840,59.16666667
120,325,840,38.69047619
121,205,840,24.40476190
122,430,840,51.19047619
